experiment,model,task,task_family,dataset,dataset_file,reported_in_paper,weights,n,perf,perf_er0,perf_erpos,pct_er0,overall,IR,IO,ER,EO,gc,cp,length,info,validity,tanimoto,semantic_entropy,claims_per_resp,perclaim_fab_rate,hedge_rate,abstain_rate,fab_position,n_conditions,base_accuracy,samples_per_response,n_matched_token,n_dlogp
diagnosis,ChemDFM-R,s2_MolCustom_FunctionalGroup,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolCustom_FunctionalGroup.csv,True,OpenDFM/ChemDFM-R,500,41.4,44.1799,32.7869,75.6,14.1568,0.0,1.28,5.3066,35.6099,2.214,95.5134,841.486,2.6311,98.4,,1.3631,,,,,,,,,,
diagnosis,ChemDFM-R,s2_MolEdit_AddComponent,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolEdit_AddComponent.csv,True,OpenDFM/ChemDFM-R,500,62.2,62.6943,60.5263,77.2,10.2829,0.0,4.0,3.3211,24.15,2.658,90.6548,976.006,2.7233,95.0,,0.9166,,,,,,,,,,
diagnosis,ChemDFM-R,s2_MolEdit_DelComponent,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolEdit_DelComponent.csv,True,OpenDFM/ChemDFM-R,500,62.2,62.4113,61.039,84.6,9.5244,0.0,1.12,2.2547,24.8022,2.306,92.9839,855.354,2.696,98.6,,0.6015,,,,,,,,,,
diagnosis,ChemDFM-R,s2_MolEdit_SubComponent,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolEdit_SubComponent.csv,True,OpenDFM/ChemDFM-R,500,69.0,70.9135,59.5238,83.2,6.9409,0.0,0.96,2.353,17.4648,2.856,92.4272,861.938,3.3135,98.8,,0.3423,,,,,,,,,,
diagnosis,ChemDFM-R,s2_MolOpt_LogP,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolOpt_LogP.csv,True,OpenDFM/ChemDFM-R,500,68.4,75.0929,60.6061,53.8,9.6166,0.0,1.6,8.8634,19.9598,2.29,79.2936,864.082,2.6502,98.0,,1.5144,,,,,,,,,,
diagnosis,ChemDFM-R,s2_MolOpt_MR,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolOpt_MR.csv,True,OpenDFM/ChemDFM-R,500,61.4,61.0619,62.1118,67.8,10.5245,0.006,2.24,5.6803,24.3701,2.222,85.4615,935.752,2.3746,97.2,,1.4421,,,,,,,,,,
diagnosis,ChemDFM-R,s2_MolOpt_QED,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolOpt_QED.csv,True,OpenDFM/ChemDFM-R,500,38.6,39.3855,36.6197,71.6,10.0311,0.006,1.28,4.8263,24.2375,2.354,87.3794,1010.19,2.3303,98.4,,1.2793,,,,,,,,,,
diagnosis,ChemDFM-R,bace,classification,MoleculeNet,moleculenet/bace/bace.csv,False,OpenDFM/ChemDFM-R,152,0.0,0.0,0.0,69.0789,19.3519,0.0,0.0,5.5651,51.3158,2.9539,89.6208,845.3684,3.4943,100.0,,0.0647,,,,,,,,,,
diagnosis,ChemDFM-R,bbbp,classification,MoleculeNet,moleculenet/bbbp/bbbp.csv,False,OpenDFM/ChemDFM-R,204,0.0,0.0,0.0,65.6863,14.96,0.0,0.0,6.3105,38.2353,2.6029,88.3527,808.3284,3.2202,100.0,,0.2156,,,,,,,,,,
diagnosis,ChemDFM-R,hiv,classification,MoleculeNet,moleculenet/hiv/hiv.csv,False,OpenDFM/ChemDFM-R,4113,0.0,0.0,0.0,56.5281,3.6138,0.0,0.0,10.2343,3.0148,1.9234,83.3878,817.5522,2.3526,100.0,,0.006,,,,,,,,,,
